subcriteria,question,dept,nama_dokumen,no_sop_wi_std_form_other
"Sistem pertukaran informasi, akses dan kerahasiaan","Apakah perusahaan memiliki prosedur yang tepat untuk memastikan bahwa semua informasi yang digunakan dalam proses cargo clearance mudah dibaca dan dipahami, lengkap dan akurat serta terlindungi dari pengiriman, penghapusan atau penginputan atas informasi yang tidak benar? * ",MIS,-,-
Sistem pengelolaan keamanan dan keselamatan,Apakah terdapat Person in Charge (PIC) yang bertanggung jawab untuk menangani IT perusahaan?,MIS,Stuktur Organisasi MIS,Per 31 Oct'24
"Sistem pertukaran informasi, akses dan kerahasiaan",Bagaimana prosedur penambahan/penghapusan user dalam sistem?,MIS,Panduan Review User Akses,STD-MIS-033
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah semua user mempunyai perbedaan role?,MIS,Panduan Penggunaan dan Review Super User,STD-MIS-059
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah ada user yang bisa mengakses keseluruhan role? * ,MIS,-,-
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur back up dan recovery?,MIS,"STD Panduan Restore Veeam, Backup & Replication",STD-MIS-054
"Sistem pertukaran informasi, akses dan kerahasiaan","Jika ada, seberapa sering back up dilakukan?",MIS,Check Sheet Daliy Backup Server,FRM-EDP-001-002-003
"Sistem pertukaran informasi, akses dan kerahasiaan",Apa saja data yang di-back-up dan di mana tempat penyimpanan data tersebut,MIS,IT Security Policy,4th Revision (26 Nov'24)
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah perusahaan mempunyai prosedur dan mekanisme terkait ruang server? * ,MIS,-,-
Sistem pengelolaan keamanan dan keselamatan,"Apakah perusahaan mempunyai prosedur tertulis untuk menjamin integritas dan keamanan barang impor/ekspor selama proses pengangkutan, penanganan/handling, dan penyimpanan? * ",PPC,"PRO Penerimaan, Penyimpanan dan Penyerahan barang",PRO-PPC-002
Sistem keamanan kargo,"Apakah perusahaan mempunyai prosedur tertulis untuk menjamin integritas dan keamanan barang impor/ekspor selama proses pengangkutan, penanganan/handling, dan penyimpanan? * ",PPC,WIS Penerimaan CKD dan Komponen OH by Schedule,WIS-PPC-002-GDC-005
Sistem keamanan kargo,"Apakah perusahaan mempunyai prosedur tertulis untuk menjamin integritas dan keamanan barang impor/ekspor selama proses pengangkutan, penanganan/handling, dan penyimpanan? * ",PPC,"WIS Pengecekan Pengangkut, Kontainer dan Segel",WIS-PPC-002-DEL-005
Sistem keamanan kargo,"Apakah perusahaan mempunyai prosedur tertulis untuk menjamin integritas dan keamanan barang impor/ekspor selama proses pengangkutan, penanganan/handling, dan penyimpanan? * ",PPC,"Form Pengecekan Pengangkut, Kontainer & Segel",FRM-PPIC-CKD-001
Sistem pengelolaan keamanan dan keselamatan,"Apakah perusahaan mempunyai prosedur untuk memastikan bahwa barang yang dimuat/diterima sesuai dengan data dan/atau informasi pada dokumen mengenai barang tersebut, termasuk berat, label, jumlah kotak, dan lain-lain?",PPC,"PRO Penerimaan, Penyimpanan dan Penyerahan barang",PRO-PPC-002
Sistem keamanan kargo,Apakah pemasok telah melakukan pemeriksaan atas barang yang dikirim dengan menggunakan purchase order dan/atau packing list?,PPC,Penerimaan Raw Material,WIS-PPC-002-GDR-001
Sistem keamanan kargo,Apakah perusahaan melakukan pemeriksaan barang yang akan dikirim dengan menggunakan shipping order dan/atau packing list?,PPC,WIS Penerimaan CKD dan Komponen OH by schedule,WIS-PPC-002-GDC-005
Sistem keamanan kargo,"Apakah ada prosedur mengenai pembubuhan tanda tangan dan stempel pada dokumen penerimaan dan dokumen pengiriman, jika diperlukan? * ",PPC,WIS Penerimaan Komponen OH by Kanban,WIS-PPC-002-GDC-007
Sistem keamanan kargo,"Apakah ada prosedur mengenai pembubuhan tanda tangan dan stempel pada dokumen penerimaan dan dokumen pengiriman, jika diperlukan? * ",PPC,WIS Expedisi Export,WIS-PPC-002-EXM-001
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai dan menyimpan pencatatan untuk mendokumentasikan terkait bagaimana perusahaan dapat mengontrol dan/atau memantau pengiriman barang untuk tujuan ekspor secara aman?,PPC,WIS Expedisi Export,WIS-PPC-002-EXM-001
Sistem keamanan kargo,"Apakah perusahaan mempunyai mekanisme untuk memastikan keamanan dan keselamatan pengiriman barang yang akan diekspor seperti pemantauan terhadap pengiriman, pemeriksaan barang di tempat, verifikasi dokumen atau pemeriksaan foto, pemeriksaan melalui video, dan lain-lain? * ",PPC,-,-
Sistem pengelolaan keamanan dan keselamatan,Apakah ada prosedur tertulis untuk memastikan integritas dan keamanan kontainer?,PPC,"WIS Pengecekan Pengangkut, Kontainer dan Segel",WIS-PPC-002-DEL-005
Sistem keamanan kargo,Apakah semua pemeriksaan alat angkut/ Instruments of International Traffic (IIT) dicatat dalam checklist? * ,PPC,-,-
Sistem pengelolaan keamanan dan keselamatan,"Sebelum memuat/mengisi/ mengemas, semua Instruments of International Traffic (IIT) yang kosong menjalani pemeriksaan keamanan untuk memastikan strukturnya tidak dimodifikasi yang dapat digunakan untuk menyembunyikan barang selundupan.",PPC,"Evidence Form Pengecekan Pengangkut, Kontainer & Segel",FRM-PPIC-CKD-001 (Evident ISI)
Sistem keamanan kargo,"Apakah pemeriksaan 7 titik untuk semua kontainer kosong dan unit load devices (ULD), dan pemeriksaan 8 titik untuk semua kontainer dan ULD berpendingin kosong, dilakukan sebelum pemuatan/pengisian? * ",PPC,-,-
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur tertulis mengenai segel dengan tingkat keamanan tinggi yang menjelaskan bagaimana segel dikeluarkan dan dikendalikan di perusahaan dan selama transit?,PPC,"WIS Pengecekan Pengangkut, Kontainer dan Segel",WIS-PPC-002-DEL-005
Sistem keamanan kargo,"Apakah dalam prosedur tersebut terdapat langkah-langkah yang harus diambil jika segel ditemukan dalam keadaan diubah, dirusak, atau memiliki nomor segel yang salah, termasuk dokumentasi berita acara, bagaimana komunikasi kepada mitra dagang bila hal tersebut terjadi, dan apakah terdapat investigasi atas insiden tersebut?",PPC,-,-
Sistem keamanan kargo,"Apakah semua pengiriman kontainer AEO yang dapat disegel, diamankan dengan baik segera setelah pemuatan/pengisian/pengemasan dengan segel keamanan tingkat tinggi? (dalam hal ini jenis segel cable dan bolt yang memenuhi kualifikasi dapat diterima).",PPC,-,-
Sistem keamanan kargo,"Apakah perusahaan telah mendokumentasikan sistem dan prosedur untuk memasang dan memeriksa segel, serta untuk melaporkan bila terdapat ketidaksesuaian atau perbedaan segel? * ",PPC,-,-
Sistem pengelolaan keamanan dan keselamatan,Apakah kontainer disimpan di tempat yang aman untuk mencegah akses masuk atau gangguan yang tidak sah?,GAF,STD Penerimaan Tamu dan Pemeriksaan Kendaraan di pos 1,a. STD-GAF-008
Sistem keamanan kargo,Apakah ada prosedur pelaporan dan penanganan yang terdokumentasi dalam kasus adanya orang yang tidak sah ke dalam kontainer atau area penyimpanan kontainer? * ,GAF,STD Penerimaan Tamu/Supplier dan Pemeriksaan Kendaraan di Gerbang pos 2,b. STD-GAF-003
Sistem keamanan kargo,Apakah ada prosedur pelaporan dan penanganan yang terdokumentasi dalam kasus adanya orang yang tidak sah ke dalam kontainer atau area penyimpanan kontainer? * ,PPC,Layout CCTV (Gabungan GA & MIS),Layout CCTV
Sistem keamanan kargo,Apakah ada prosedur pelaporan dan penanganan yang terdokumentasi dalam kasus adanya orang yang tidak sah ke dalam kontainer atau area penyimpanan kontainer? * ,GAF,Pembatasan Area Perusahaan,STD-GAF-137
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan memiliki informasi tentang alat angkut dan identifikasi pengemudi sebelum pemuatan atau penerimaan barang?,MIS,IT Security policy,a. 4th Revision (26 Nov'24)
Sistem keamanan kargo,"Apakah perusahaan memiliki prosedur untuk menangani penyimpangan rute yang signifikan dan kedatangan terlambat di dok/area pemuatan, titik transfer, atau tujuan akhir? * ",GAF,SOP identifikasi dan evaluasi peraturan keamanan,b. PRO-GAF-001
Sistem keamanan kargo,"Apakah perusahaan memiliki prosedur untuk menangani penyimpangan rute yang signifikan dan kedatangan terlambat di dok/area pemuatan, titik transfer, atau tujuan akhir? * ",GAF,STD Penerimaan Tamu/Supplier dan Pemeriksaan Kendaraan di Gerbang pos 2,STD-GAF-003
Sistem keamanan kargo,"Apakah perusahaan memiliki prosedur untuk menangani penyimpangan rute yang signifikan dan kedatangan terlambat di dok/area pemuatan, titik transfer, atau tujuan akhir? * ",PPC,WIS Expedisi Export,WIS-PPC-002-EXM-001
Sistem keamanan kargo,"Apakah perusahaan memiliki prosedur untuk menangani penyimpangan rute yang signifikan dan kedatangan terlambat di dok/area pemuatan, titik transfer, atau tujuan akhir? * ",PQD,WIS Monitoring atas alat angkut yg membawa kargo perusahaan,WIS-PUR-IMP-009
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur saat terjadi perbedaan/penyimpangan pada saat bongkar muat? * ,PPC,WIS Penerimaan CKD dan Komponen OH by schedule,WIS-PPC-002-GDC-005
Sistem keamanan kargo,Apakah perusahaan mempunyai prosedur saat terjadi perbedaan/penyimpangan pada saat bongkar muat? * ,PPC,"PRO Penerimaan, Penyimpanan dan Penyerahan barang",PRO-PPC-002
Sistem keamanan kargo,Apakah perusahaan mempunyai prosedur saat terjadi perbedaan/penyimpangan pada saat bongkar muat? * ,PQD,WIS Claim ke Supplier Import,WIS-PUR-001-IMP-002
Sistem keamanan kargo,Apakah perusahaan mempunyai prosedur saat terjadi perbedaan/penyimpangan pada saat bongkar muat? * ,PQD,Pembuatan & Pelaporan Voluntary Payment (VP),PRO-PUR-003
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai mekanisme untuk mencegah terjadinya manipulasi penyimpanan barang?,ACC,PRO Stock Opname   ,PRO-ACC-002
Sistem keamanan kargo,"Apakah perusahaan melakukan stock opname, baik yang dilakukan terhadap keseluruhan barang atapun terhadap sebagian barang yang terjadwal? * ",ACC,Buku panduan STO,Buku panduan STO
Sistem keamanan kargo,"Apakah perusahaan melakukan stock opname, baik yang dilakukan terhadap keseluruhan barang atapun terhadap sebagian barang yang terjadwal? * ",PPC,Stock Opname harian,STD-PPC-162
"Sistem pengelolaan keamanan dan keselamatan
Sistem keamanan kargo",Apakah area penyimpanan barang dan area bongkar muat dibatasi dari akses tamu/pegawai/kontraktor/ pihak lain yang tidak berhak? * ,PPC,Pembatasan Area Perusahaan,STD-GAF-137
Sistem pengelolaan keamanan dan keselamatan,Apakah ada prosedur terdokumentasi untuk memastikan integritas dan keamanan alat angkut?,PPC,"Evidence Form Pengecekan Pengangkut, Kontainer & Segel",FRM-PPIC-CKD-001 (Evident ISI)
Sistem keamanan pergerakan barang,"Apakah log aktivitas pelacakan dan pemantauan, atau teknologi yang setara (seperti GPS), digunakan untuk melacak alat angkut saat sedang dalam perjalanan ke perbatasan internasional? * ",PQD,WIS Monitoring atas alat angkut yg membawa kargo perusahaan,WIS-PUR-IMP-009
Sistem keamanan pergerakan barang,"Apakah log aktivitas pelacakan dan pemantauan, atau teknologi yang setara (seperti GPS), digunakan untuk melacak alat angkut saat sedang dalam perjalanan ke perbatasan internasional? * ",PQD,Evidence Pengecekan Pengangkut (Kepala Container/Truck)  Sample Pengecekan,FRM-GAF-003 (Pemeriksaan 5 Titik Kepala Kontainer) Ev
Sistem keamanan pergerakan barang,"Apakah log aktivitas pelacakan dan pemantauan, atau teknologi yang setara (seperti GPS), digunakan untuk melacak alat angkut saat sedang dalam perjalanan ke perbatasan internasional? * ",PQD,STD Memastikan driver tlh dibrkan pelatihan ttg keamn & keslmtan pengangkut brg,STD-PUR-IMP-019
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan melakukan pemeriksaan alat angkut dan barang (bila diperlukan) untuk mencegah adanya penyembunyian barang yang mencurigakan atau yang tidak tertulis?,PPC,Evidence Pengecekan Pengangkut (Kepala Container/Truck)  Sample Pengecekan,FRM-GAF-003 (Pemeriksaan 5 Titik Kepala Kontainer) Ev
Sistem keamanan pergerakan barang,Apakah catatan pemeriksaan alat angkut didokumentasikan dengan benar?,PPC,"Evidence Form Pengecekan Pengangkut, Kontainer & Segel",FRM-PPIC-CKD-001 (Evident ISI)
Sistem keamanan pergerakan barang,Apakah ada pelatihan bagi karyawan untuk memahami tujuan pemeriksaan dan mempelajari teknik pemeriksaan?,PPC,STD Penerimaan Tamu/Supplier dan Pemeriksaan Kendaraan di Gerbang pos 2,STD-GAF-003
Sistem keamanan pergerakan barang,Apakah perusahaan memiliki mekanisme untuk melaporkan terkait adanya penyembunyian barang mencurigakan dalam alat angkut atau perubahan yang mencurigakan pada alat angkut? * ,PPC,-,-
Sistem pengelolaan keamanan dan keselamatan,Apakah ada area aman untuk parkir alat angkut untuk mencegah masuknya orang yang tidak berwenang atau kerusakan lainnya?,GAF,Layout CCTV (Gabungan GA & MIS),Layout CCTV 
Sistem keamanan pergerakan barang,Apakah ada prosedur untuk melaporkan masuknya yang tidak sah ke area penyimpanan atau kerusakan alat angkut? * ,GAF,STD Penerimaan Tamu dan Pemeriksaan kendaraan di Pos 1,STD-GAF-008
Sistem keamanan pergerakan barang,Apakah ada prosedur untuk melaporkan masuknya yang tidak sah ke area penyimpanan atau kerusakan alat angkut? * ,GAF,STD Pengaturan parkir dan lokasi penerimaan barang   ,STD-GAF-005
Sistem keamanan pergerakan barang,Apakah ada prosedur untuk melaporkan masuknya yang tidak sah ke area penyimpanan atau kerusakan alat angkut? * ,GAF,Pembatasan Area Perusahaan,STD-GAF-137
Sistem pengelolaan keamanan dan keselamatan,"Apakah ada tindakan pengendalian administratif mengenai unit pengangkut yang membawa barang ekspor dan articles selama proses pengangkutan setelah pemuatan, dalam perjalanan ke titik ekspor?",PQD,WIS Monitoring atas alat angkut yg membawa kargo perusahaan,WIS-PUR-IMP-009
Sistem keamanan pergerakan barang,Apakah ada prosedur untuk melacak alat angkut? * ,PQD,-,-
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai orang yang bertanggung jawab untuk memastikan keamanan di lokasi perusahaan?,GAF,Struktur organisasi GA  Security,a. Struktur organisasi GA - Security
Sistem keamanan lokasi,Prosedur apa saja yang terdapat untuk mengelola keselamatan dan keamanan di lokasi perusahaan? * ,GAF,Job desc Security,b. Job desc Security
Sistem keamanan lokasi,Prosedur apa saja yang terdapat untuk mengelola keselamatan dan keamanan di lokasi perusahaan? * ,GAF,STD Penerimaan Tamu dan Pemeriksaan Kendaraan di pos 1,c. STD-GAF-008
Sistem keamanan lokasi,Prosedur apa saja yang terdapat untuk mengelola keselamatan dan keamanan di lokasi perusahaan? * ,GAF, Evidence pemeriksaan kendaraan dengan vehicle inspection mirror, Evidence pemeriksaan kendaraan dengan vehicle inspection mirror
Sistem pengelolaan keamanan dan keselamatan,Apakah bangunan perusahaan dapat mencegah masuknya orang tidak berwenang?,MTE,PRO tentang Pemeliharaan dan Perbaikan Gedung   ,PRO-MTE-001
Sistem keamanan lokasi,Apakah terdapat prosedur pemeriksaan dan perbaikan rutin bangunan dan siapa yang bertanggung jawab mengenai hal tersebut? Teknologi apa saja yang dipakai untuk memastikan keamanan di lokasi perusahaan?,GAF,Layout CCTV (Gabungan GA & MIS),Layout CCTV
Sistem keamanan lokasi,"Apakah terdapat CCTV di area pintu, gudang, bongkar muat dan area parkir?",GAF,Foto Perimeter (CCTV Pagar Pembatas),a. Foto Perimeter
Sistem keamanan lokasi,Apakah terdapat sistem alarm di area perusahaan?,GAF,STD Penerimaan Tamu dan Pemeriksaan kendaraan di Pos 1,STD-GAF-008
Sistem keamanan lokasi,Bagaimana akses masuk ke bagian gudang dan mekanisme apa yang dapat memastikan bahwa area gudang tidak dapat dimasuki oleh orang yang tidak berkepentingan? * ,GAF,STD Penerimaan Tamu/Supplier dan Pemeriksaan Kendaraan di Gerbang pos 2,STD-GAF-003
Sistem keamanan lokasi,Bagaimana akses masuk ke bagian gudang dan mekanisme apa yang dapat memastikan bahwa area gudang tidak dapat dimasuki oleh orang yang tidak berkepentingan? * ,GAF,Pembatasan Area Perusahaan,STD-GAF-137
Sistem keamanan lokasi,Bagaimana akses masuk ke bagian gudang dan mekanisme apa yang dapat memastikan bahwa area gudang tidak dapat dimasuki oleh orang yang tidak berkepentingan? * ,GAF,Pemeliharaan & Pebaikan Gedung,WIS-GAF-002-001
Sistem keamanan lokasi,Bagaimana akses masuk ke bagian gudang dan mekanisme apa yang dapat memastikan bahwa area gudang tidak dapat dimasuki oleh orang yang tidak berkepentingan? * ,GAF,Mengoperasikan CCTV,STD-GAF-054
Sistem pengelolaan keamanan dan keselamatan,Bagaimana mekanisme pengawasan pintu gerbang dan akses keluar masuk lain di area perusahaan?,GAF,STD Penerimaan Tamu dan Pemeriksaan Kendaraan di pos 1,a. STD-GAF-008
Sistem keamanan lokasi,"Apakah perusahaan melakukan pencatatan terhadap kendaraan, orang dan barang (dokumen dan paket) yang masuk?",GAF,STD Penerimaan Tamu/Supplier dan Pemeriksaan Kendaraan di Gerbang pos 2,b. STD-GAF-003
Sistem keamanan lokasi,Bagaimana prosedur dan mekanismenya? Apakah perusahaan memberikan visitor card terhadap tamu atau kontraktor selama berada di lingkungan perusahaan?,GAF,IT Security policy,a. 4th Revision (26 Nov'24)
Sistem keamanan lokasi,Bagaimana pencatatan dan perlakuan perusahaan terhadap pihak-pihak tersebut?,GAF,Foto visitor card,Foto visitor card
Sistem keamanan lokasi,Apa saja yang dicatat pada saat registrasi tamu pihak ketiga yang masuk ke area perusahaan? Bagaimana prosedur dan mekanisme perusahaan terhadap kontrol akses pegawai (contohnya ID Card dan Akses Elektronik) dan bagaimana pencabutan akses saat pegawai tersebut tidak lagi menjadi bagian dari perusahaan?,GAF,STD Penerimaan paket pribadi,STD-GAF-095B
Sistem keamanan lokasi,Apakah karyawan perusahaan mengetahui prosedur untuk mengidentifikasi akses masuk yang tidak sah dan orang yang tidak dikenal?,GAF,-,-
Sistem keamanan lokasi,"Apakah perusahaan mempunyai mekanisme parkir kendaraan baik pegawai, tamu, dan kendaraan pengangkut?",GAF,-,-
Sistem keamanan lokasi,Bagaimana prosedur yang terdapat di perusahaan saat terdapat orang yang tidak berkepentingan masuk/melakukan penerobosan ke lokasi perusahaan?,GAF,-,-
Sistem keamanan lokasi,Apakah karyawan perusahaan mengetahui prosedur untuk mengidentifikasi akses masuk yang tidak sah dan orang yang tidak dikenal? * ,GAF,-,-
"Sistem pengelolaan keamanan dan keselamatan
Sistem keamanan lokasi",Apakah perusahaan mempunyai prosedur manajemen kunci atau kontrol akses? * ,GAF,STD Pengawasan Kunci,STD-GAF-095
Sistem pengelolaan keamanan dan keselamatan,"Apakah perusahaan mempunyai penerangan yang memadai di area tertentu seperti gerbang keluar masuk, akses pintu lain, perimeter, area bongkar muat?",GAF,Foto Perimeter (CCTV Pagar Pembatas),a. Foto Perimeter
Sistem keamanan lokasi,Apakah ada backup generator untuk memastikan bahwa pencahayaan tidak terdampak gangguan aliran listrik? * ,MSU,PRO Contigency Plan,b. PRO-QMR-005   
Sistem keamanan lokasi,Apakah ada backup generator untuk memastikan bahwa pencahayaan tidak terdampak gangguan aliran listrik? * ,GAF,Screenshot CCTV,Screenshot CCTV
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur patroli di lokasi perusahaan dan apakah menggunakan alat bantu patroli? * ,GAF,STD Patroli Keamanan,STD-GAF-103
Sistem keamanan lokasi,Apakah perusahaan mempunyai prosedur patroli di lokasi perusahaan dan apakah menggunakan alat bantu patroli? * ,GAF,STD Percobaan pelanggaran Keamanan,STD-GAF-047
Sistem keamanan lokasi,Apakah perusahaan mempunyai prosedur patroli di lokasi perusahaan dan apakah menggunakan alat bantu patroli? * ,GAF,Foto Perimeter (CCTV Pagar Pembatas),Foto Perimeter
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai kebijakan kepegawaian yang berkaitan dengan persyaratan keamanan dan keselamatan?,HRD,PRO Proses penerimaan karyawan,PRO-HRD-001
Sistem pengelolaan keamanan dan keselamatan,Apakah ada prosedur tertulis untuk filterisasi calon karyawan dan untuk melakukan pemeriksaan pada karyawan saat ini?,HRD,STD PBK Karyawan Tetap,STD-HRD-002-001-001
Sistem keamanan pegawai,"Apakah informasi lamaran, seperti riwayat pekerjaan dan referensi, diverifikasi sebelum pekerjaan, yang disesuaikan menurut undang-undang?",HRD,Background check karyawan baru,FRM-HRD-001-004-008:00
Sistem keamanan pegawai,Bagaimana perusahaan melakukan pengecekan secara berkala terhadap latar belakang dan perilaku pegawai terutama yang ditempatkan di posisi rawan? * ,HRD,Penempatan Karyawan,WIS-HRD-001-002
Sistem pengelolaan keamanan dan keselamatan,Apakah ada pencatatan atas semua karyawan yang bekerja di lokasi perusahaan?,HRD,MPS HRD (kondisi end Dec'2024) => revisi MPS end Mar'2025,MPS HRD (kondisi end Dec'2024)
Sistem pengelolaan keamanan dan keselamatan,"Apakah perusahaan mempunyai daftar posisi pegawai yang berada pada posisi kritikal misal penerimaan dan pemuatan barang, super user, dan lain-lain? * ",HRD,Critical position,SK Critical position No. SK 006/DIR/HRD/AII/III/2025
Sistem keamanan pegawai,"Apakah perusahaan mempunyai daftar posisi pegawai yang berada pada posisi kritikal misal penerimaan dan pemuatan barang, super user, dan lain-lain? * ",HRD,Pengisian Kompetensi,STD-HRD-002-001
Sistem keamanan pegawai,"Apakah perusahaan mempunyai daftar posisi pegawai yang berada pada posisi kritikal misal penerimaan dan pemuatan barang, super user, dan lain-lain? * ",HRD,Proses Evaluasi Karyawan Kontrak,WIS-HRD-001-003
Sistem keamanan pegawai,"Apakah perusahaan mempunyai daftar posisi pegawai yang berada pada posisi kritikal misal penerimaan dan pemuatan barang, super user, dan lain-lain? * ",HRD,Evaluasi Karyawan Tetap,WIS-HRD-002-001
Sistem keamanan pegawai,"Apakah perusahaan mempunyai daftar posisi pegawai yang berada pada posisi kritikal misal penerimaan dan pemuatan barang, super user, dan lain-lain? * ",HRD,People Development Activity,WIS-HRD-007
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan memverifikasi identifikasi individu dan riwayat pekerjaan sebelum mempekerjakan?,HRD,PRO Proses penerimaan karyawan,a. PRO-HRD-001
Sistem pengelolaan keamanan dan keselamatan,Apakah ada kebijakan untuk dapat meninjau situasi di mana calon karyawan memiliki catatan kriminal? * ,HRD,Background check karyawan baru,FRM-HRD-001-004-008:00
Sistem keamanan pegawai,Apakah ada kebijakan untuk dapat meninjau situasi di mana calon karyawan memiliki catatan kriminal? * ,HRD,Kualifikasi Calon Karyawan,STD-HRD-022
Sistem pengelolaan keamanan dan keselamatan,Apakah akses ke fasilitas dicabut dan apakah ID dibatalkan untuk karyawan yang ditangguhkan dan/atau diberhentikan?,HRD,WIS Pengunduran diri karyawan,WIS-HRD-008
Sistem pengelolaan keamanan dan keselamatan,"Apakah bisnis melarang mantan karyawan memasuki lokasinya atau menggunakan sistem informasinya dari jarak jauh, kecuali jika diizinkan? * ",MIS,Stuktur Organisasi MIS,Per 31 Oct'24
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan menggunakan teknologi IT yang aman ketika karyawan mengakses sistem perusahaan dari luar kantor?,MIS,Standar Panduan Review User Akses,STD-MIS-033
Sistem pengelolaan keamanan dan keselamatan,Apakah karyawan memiliki identitas resmi yang diterbitkan perusahaan? * ,MIS,IT Security Policy,4th Revision (26 Nov'24)
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan memiliki prosedur tertulis yang menguraikan kriteria untuk mengevaluasi keamanan rantai pasok mitra dagang? * ,PQD,WIS Evaluasi LSP,a. WIS-PUR-IMP-001
Sistem keamanan mitra dagang,Apakah perusahaan memiliki prosedur tertulis yang menguraikan kriteria untuk mengevaluasi keamanan rantai pasok mitra dagang? * ,PQD,Evidence Forwarder Performance Report,b. FRM-PUR-IMP-002
Sistem keamanan mitra dagang,Apakah perusahaan memiliki prosedur tertulis yang menguraikan kriteria untuk mengevaluasi keamanan rantai pasok mitra dagang? * ,PQD,WIS Evaluasi Supplier Performance,WIS-PUR-PQD-005
Sistem pengelolaan keamanan dan keselamatan,"Apa cakupan dari evaluasi yang dibuat saat memilih mitra dagang, dan apakah sudah termasuk kriteria atau status AEO? * ",PQD,WIS Penentuan Supplier Tetap,WIS-PUR-PPU-004
Sistem keamanan mitra dagang,"Apa cakupan dari evaluasi yang dibuat saat memilih mitra dagang, dan apakah sudah termasuk kriteria atau status AEO? * ",PQD,WIS Penentuan LSP,WIS-PUR-IMP-013
Sistem pengelolaan keamanan dan keselamatan,"Apakah perusahaan mendorong mitra dagangnya untuk mengoptimalkan dan meningkatkan proses keamanan perdagangan mereka, serta mendokumentasikannya dalam prosedur atau perjanjian? * ",PQD,Contoh Supplier Performance Report (PT SINALUM),Tgl. 1 Jan 2025)
Sistem pengelolaan keamanan dan keselamatan,Apakah ada proses untuk meninjau mitra dagang secara berkala dalam konteks membangun rantai pasok yang aman? * ,PQD,WIS Evaluasi Supplier Performance,WIS-PUR-PQD-005
Sistem keamanan mitra dagang,Apakah ada proses untuk meninjau mitra dagang secara berkala dalam konteks membangun rantai pasok yang aman? * ,PQD,WIS Evaluasi LSP,WIS-PUR-IMP-001
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan saudara mempunyai rencana kontingensi bila terjadi keadaan darurat?,MSU,PRO Pengendalian Keadaan Darurat,PRO-LK3MR-011
Sistem pengelolaan keamanan dan keselamatan,Dalam bentuk apa dan jelaskan?,MSU,Layout APAR ,Layout APAR 
Sistem manajemen krisis dan pemulihan insiden,"Apakah perusahaan mempunyai prosedur dan mekanisme untuk mengakomodir pelaporan, melakukan investigasi dan menganalisis terhadap percobaan pelanggaran keamanan yang dapat mengganggu kegiatan bisnis perusahaan?",MSU,Identifikasi aspek dampak lingkungan,Identifikasi aspek dampak lingkungan
Sistem manajemen krisis dan pemulihan insiden,"Apakah perusahaan mempunyai safety induction yang diberikan kepada pegawai (khususnya pegawai baru), kontraktor dan tamu sebagai bagian dari pemberitahuan mengenai rencana kontingensi perusahaan? Bagaimana isi dari safety induction tersebut? * ",MSU,STD Pemberian safety induction,STD-MSU-201
Sistem manajemen krisis dan pemulihan insiden,"Apakah perusahaan mempunyai safety induction yang diberikan kepada pegawai (khususnya pegawai baru), kontraktor dan tamu sebagai bagian dari pemberitahuan mengenai rencana kontingensi perusahaan? Bagaimana isi dari safety induction tersebut? * ",MSU,Peta Evakuasi keadaan gawat darurat,Peta Evakuasi keadaan gawat darurat (10/12/2024)
Sistem manajemen krisis dan pemulihan insiden,"Apakah perusahaan mempunyai safety induction yang diberikan kepada pegawai (khususnya pegawai baru), kontraktor dan tamu sebagai bagian dari pemberitahuan mengenai rencana kontingensi perusahaan? Bagaimana isi dari safety induction tersebut? * ",MSU,"Penanganan, Investigasi, Pelaporan, Tindakan Perbaikan dan Pencegahan Insiden",PRO-LK3MR-007
Sistem manajemen krisis dan pemulihan insiden,"Apakah perusahaan mempunyai safety induction yang diberikan kepada pegawai (khususnya pegawai baru), kontraktor dan tamu sebagai bagian dari pemberitahuan mengenai rencana kontingensi perusahaan? Bagaimana isi dari safety induction tersebut? * ",MSU,PRO Contigency Plan,PRO-QMR-005   
Sistem manajemen krisis dan pemulihan insiden,"Apakah perusahaan mempunyai safety induction yang diberikan kepada pegawai (khususnya pegawai baru), kontraktor dan tamu sebagai bagian dari pemberitahuan mengenai rencana kontingensi perusahaan? Bagaimana isi dari safety induction tersebut? * ",MSU,Risk Contigency Plan,STD-QMR-002
